Time:by and by,on time,from time to time,now,date,year,day,after,then,now and then
Vacation:landing,relax,swim,bicycle,cabin,tourist trap,taxi,airfare,tent,postcard,yacht,hostel,relaxation,sail,airplane,depart,expedition,sights,backpack,binoculars,ocean liner,umbrella,voyage,subway,scenery,hike,tote,amusement park,flew,garment bag
Job:scientist,technician,priest,taxi driver,porter,actress,programmer,fire fighter,poet,scholar,musician,pastor,journalist,detective,mailman,translator,sewer,athlete,carpenter,sailor,dentist,accountant,cutter,barber,mechanic,car mechanic,painter,banker,conductor,illustrator
Beach:rip current,volleyball,cooler,tide,high tide,tide pool,low tide,reef,scuba,tsunami,dock,yacht,shark,cove,sail,sandals,underwater,towel,snacks,umbrella,pier,crab,currents,bathing suit,lagoon
Kindness:loving,pal,tender,decent,beneficial,gentle,charitable,generous,open minded,supportive,loyal,buddies,favorable,guiding,volunteering,smiles,optimistic,thoughtful,welcoming,tolerant
Makeup:liquid foundation,eye shadow,powder,lipstick,powder puff,blush brush,brow brush,eyebrow pencil,mascara,eyeliner,eyelash curler
Animal:swift,penguin,African penguin,worm,sea worm,slow worm,bunny,emperor penguin,nest,endangered species,trout,lake trout,turtle,painted turtle,box turtle,sea turtle,goat,billy goat,creature,German shepherd,Greenland shark,owl,cardinal,northern cardinal,joey,flies,crane,Japanese crane,carpenter ant,pony
Negative Feeling:aggressive,threatened,excluded,worried,abandoned,banned,labeled,disappointed,convicted,bored,scared,bitter,rotten,useless,avoided,stressed out,beaten,moody,questioned,detached
Time:occasionally,autumn,delayed,millennium,rarely,timer,sunrise,afterwards,lately,Coordinated Universal Time,twilight,quartz,quartz clock,sometime,leap second,leap year,daylight,daylight savings time,overtime,grandfather clock,meridian,prime meridian,post meridian,Greenwich Mean Time,premature,lunar month,timetable,DST,tempo,daytime
Weather:informative,atmospheric pressure,halo,tsunami,frost,mud slide,ozone,convergence,gale,freeze,controversial,surge,storm surge,greenhouse effect,orbit,longitude,crystals,ice crystals,bitter,twilight,decay,tilt,scattered,erosion,unstable,altitude,compass,quake,dew,dew point
Law:suspected,unauthorized,conviction,sheriff,deadly,brutal,malpractice,survivor,cop,mentor,helicopter,controversial,trauma,detective,harmful,harassment,threatening,resist,high powered rifle,judiciary,accord,lynch,enforce,negotiate,viable,loyalty,educate,probable cause,notation,rogue
Happiness:in seventh heaven,motivation,meditation,merry,courage,lap up,entertaining,grateful,laughing,sacrifice,delight,charming,engaging,triumph,excitement,relaxation,jumping for joy,enjoyable,maturity,loyalty,dwelling,relaxed,enthusiasm,touching,favorable,expectation,smiling,scenery,delighted,prosperity
Flower:butterfly bush,black eyed Susan,Indian blanket,pussy willow,bouquet,daisy,myrtle,lily,tiger lily,iris,bells of Ireland,lavender,laurel,mountain laurel,violet
Tree:black ash,white ash,flame tree,jungle,holly,walnut,willow,black willow,lone pine,aspen,gum,cone,pear,coconut palm,upright red maple,peach,bark,evergreen,cypress,plum
Birthday:cookie,gathering,juice,candle,celebration,bow,greeting card,celebrate,invitation,ribbon,wrapping paper,balloon,party favors,wrapped,bash,clown,sweets,entertain,jubilee,festive,icing,confetti,frosting,lollipop,goodie bags,cupcake,popsicle,sparkler
Computer:trash,programmer,sync,prefix,floppy disk,hack,junk mail,undo,bite,motherboard,runtime,inbox,worm,workstation,numeric,align,peripheral,refresh,firmware,popup,Trojan horse,dashboard,pirate,widget,literal,spreadsheet,reboot,hyperlink,piracy,gigabyte
Complexity:fancy,bare,complicated,elaborate,intricate,convoluted
Bird:hawk,bald eagle,swift,penguin,African penguin,emperor penguin,nest,crest,owl,barn owl,cardinal,crane,swan,black swan,raven,crow,falcon,drake,clutch,spotted owl
Dance:tap dance,Charleston,belly dance,twist,disco,reel,reggae,barn dance,ballet,bunny hop,mambo,Ukrainian dance,salsa,cha cha,ballroom dance,contra dance,tango,time warp,Cajun dance,jive
Meat:rabbit,duck,kidney,ham,lamb,pork,bacon,goat,elk,steak,roast,sausage,lamb chop,bison,hamburger
Ocean:elephant seal,tsunami,whale,right whale,killer whale,fin,shark,whale shark,tiger shark,sea worm,turtle,sea turtle,dolphin,shrimp,worms,squid,giant squid,crab,currents,clown fish
Transportation:passenger ship,ferry,bicycle,taxi,yacht,helicopter,airplane,scooter,subway,canoe,submarine,kayak,raft,dinghy,sailboat
Landform:coral reef,divide,peninsula,slope,geology,brook,watershed,mud flat,cliff,ice cliff,cove,terrain,dome,crest,hollow,continent,longitude,marsh,salt marsh,vent,bluff,drift,playa,vale,inlet,knob,wetland,volcano,glacier,glacier cave
School:paper punch,hole punch,memo pad,quizzes,vocabulary,markers,habits,pens,pencil,mechanical pencil,librarian,detention,playground,kindergarten,counselor,compass,backpack,glue,glue stick,spiral notebook,auditorium,pupil,pencil pouch,locker,locker room,snack,birthdays,influenza,readiness,dry erase board
Pirate:horizon,ill gotten,quarters,rope,hull,revenge,barrel,steal,realm,brutal,cannon,seas,high seas,sail,sailor,compass,malaria,skull and bones,pirate,cruel,curse,hostile,unlawful,notorious,thief,nautical,pistol,mates,haul,abandon
Vegetable:onion,green onion,vegetarian,tomatoes,garlic,irrigation,peas,snow peas,chick peas,black eyed peas,tomato,cooked,bulbs,distinctive,ginger,slice,laurel,culinary,squash,drought,lima beans,pumpkin,mushroom,popcorn,mustard greens
Color:aqua,aqua green,auburn,emerald,emerald green,champagne,sapphire,tomato,pale,moss green,jade,jade green,lime,complementary,cardinal,garnet,denim,lavender,beige,violet,bronze violet,violet red,delicate color,orchid,peach,slate,slate grey,charcoal,charcoal grey,rust
Material:aluminum,wooden,nylon,bronze,brick,wool,titanium,acrylic,metallic,polyester,alloy,cement,linen,glue,ceramics,cardboard,fiberglass,epoxy,wicker,silica,oily,watery,gilded,viscose,woolen,chalky
Yard:terrace,vegetable garden,trash can,hose,fence,shed,garbage can,herb garden,bulbs,backyard,orchard,vine,porch,front porch,back porch,porch swing,stepping stone,weeds,basketball hoop,driveway
Summer:sunny,sailing,relax,swim,humidity,showers,lightning,thunder,boating,picnic,daisy,sandals,voyage,sightseeing,air conditioner,bathing suit,backpacking,swimsuit,sunflower,berries,canoeing,swim fins,trunks,summer solstice,outings
Cat:Oriental,jaguar,kitty,Persian,persian,ginger,Rex,Devon rex,alley cat,puma,curl,lynx,panther,kitten,Bombay
Drink:juice,orange juice,punch,tomato juice,cocktail,liquor,soda,cocoa,coke,brandy,whiskey,lemonade,milkshake
Reptile:mud snake,slow worm,turtle,painted turtle,map turtle,water turtle,mud turtle,sea turtle,box turtle,cobra,king cobra,racer snake,black racer,indigo snake,lizard
Japanese Words:anime,tsunami,samurai,sushi,karate,bonsai,judo,kamikaze,kendo,ikebana,zori
House:ladder,blanket,greenhouse,heater,water heater,cement,fireplace,bolt,quilt,insulation,curtain,curtain rod,mailbox,closet,hall closet,linen closet,couch,shelves,backyard,stairs,vent,vase,sliding glass door,mansion,lumber,stove,wood stove,crib,cushion,hut
Winter:fleece,frost,Jack Frost,gale,freeze,blanket,heater,fireplace,quilt,snowboard,insulation,bitter cold,skate,chill,wind chill factor,harsh,stove,wood stove,sweater,freezing,freezing rain,cough,evergreen,scarf,melt
City Name:Gilbert,Dubai,Mumbai,Vatican,Gibraltar,Greensboro,Tulsa,Newark,Istanbul,Frankfurt,Fresno,Anchorage,Chandler,Toledo,Boise,Scottsdale,Irvine,Jakarta,Baton Rouge,Macau,Irving,Lyon,Santiago,Stein,Johannesburg,Warsaw,Lisbon,Buenos Aires,Zurich,Stockton
Spring:butterfly,chick,warming,lamb,worm,bunny,nest,bloom,baby goat,bulbs,bud,breeze,umbrella,hatch,melt,blossom,tulip,windy,rebirth,thaw
Sport:roller skating,vault,pole vault,paintball,sail,throwing,snowboard,jumping,high jumping,skate,athlete,power lifting,leap,jumper,lacrosse,pogo stick,spinning,bounce,biking,baton,freestyle,freestyle wrestling,snowboarding,squash,scoreboard,cue,canoe,Nordic skiing,cheer,racer
Vegetables:onion,garlic,chick peas,black eyed peas,tomato,ginger,greens,salsa,squash,peppers,hot chili peppers,peanut,lima bean,pumpkin,mushroom
Physics:momentum,explosion,deviation,dependence,crest,absorption,dense,gallon,distortion,quantum leap,einstein,harness,gram,stationary,molecule,torque,rigid,diffusion,vibration,acceleration,resonance,calculus,metrics,propagation,vapor,nucleus,radioactive,thrust,scattering,displacement
Food:flour,poultry,mug,bitter,ginger,liquor,baked Alaska,soy,soy sauce,greens,slice,chili,freezer,fry,stir fry,ice cream cone,steak,dessert,fried,shrimp,pear,salsa,strawberry,feast,curry,mayo,food pyramid,spoon,squash,summer squash
Dentist:impression,bacteria,alignment,remedy,nerve,bite,mold,needle,painful,tooth,tooth fairy,wisdom tooth,cement,hygiene,decay,dentist,pulp,plaque,cavity,inflammation,sweets,jaw,enamel,implant,canine,impacted,anesthesia,local anesthesia,bib,braces
Underwear:slip,panties,bra,briefs,panty hose,tights,girdle,knickers,underpants,undershirt
Bicycle:tire pump,front tire,grip,fork,rim,saddle,fender,pedal,brake lever,baggage carrier,headlight,handlebar,gearshift,kickstand
Military:missile,bracket,prisoner of war,longitude,pike,rifle,warfare,tactical,pile,sailor,glove,stern,infantry,pentagon,recruit,bounce,colonel,pier,fender,surrender,arsenal,lieutenant,deploy,goo,marines,explosive,brigade,regiment,shooter,casualty
Newspaper:assignment,reporter,photographer,circulation,headline,affair,caption,back alley news,correspondent,columnist,attribution,boil,obituary,interviewer,newsstand,tabloid,censor,caricature,byline,anecdote,newsprint
Construction:slope,rehab,flush,heel,groove,cement,bracket,insulation,arbor,resin,granite,primer,adhesive,gum,saddle,rigid,pier,lumber,slate,stain,elbow,gloss,porch,notch,gravel,jigsaw,asphalt,solvent,stool,fuse
Finance:elimination,vault,bracket,dividend,ira,unofficial,oversight,insufficient,maturity,imprint,unsecured,debit,nyse,voucher,redemption,deduction,brokerage,leverage,peaks,expectation,collateral,depreciation,monopoly,foreclosure,endorse,beneficiary,rumors,ticker tape,deductible,competitor
Biology:endangered,greenhouse effect,adaptation,absorption,fossil,chromosome,erosion,viable,organs,residual,ecosystem,pulmonary,optic,genus,diffusion,microbiology,mutation,pyramid,breathe,regulate,coronary,nucleus,taxonomy,predator,immunity,regeneration,differentiation,specimen,displacement,symmetry
Animal:swan,black swan,elk,crow,insect,dolphin,alley cat,falcon,tick,terrier,Yorkshire terrier,Scottish terrier,Boston terrier,Jack Russell terrier,west highland white terrier,cobra,king cobra,drake,shrimp, spotted,spotted owl,white spotted dolphin,western spotted owl,squid,giant squid,crab,king crab,goose,Hawaiian goose,Canada goose
Mammal:vampire bat,whale,blue whale,gray whale,right whale,killer whale,northern right whale,fin whale,goat,elk,dolphin,puma,marine mammals,moose,lynx,panther,panda,red panda,zebra,donkey,rhino,harp seal,ape,badger,ox
Fruit:berry,blackberry,banana,lime,pear,strawberry,coconut,citrus,peach,grape,plum,mandarin orange,Mandarin orange,grapes,pineapple
Cooking:timer,dip,stir,slice,fry,paper towels,spoon,measuring spoon,bake,barbecue,toast,can opener,roast,melt,boil
Teeth:baby teeth,adult teeth,front teeth,wisdom teeth,back teeth,canine,first molar,second molar,third molar,lateral incisor,central incisor,second premolar,first premolar
History:era,manuscript,mythology,chronology,epoch,artifact,antiquity,provenance
Swimming:diving board,butterfly,shallow end,crawl,dog paddle,synchronized swimming,backstroke,breaststroke
Reading:insight,wisdom,bookstore,connectivity,imagination,sorts,suited,nonfiction,suspense,bookshelf,familiarity,solitary,respite,ponder,intrigue,livelihood,literate,empathy,pamphlets,cherish,acquaint,commonality,bulwark
World:Finnish,Hawaiian,Vietnamese,Slovak,Persian,Tamil,Romanian,Ukrainian,Hindi,Albanian,Tibetan,Croatian,Serbian,Armenian,Mandarin Chinese,Lithuanian,Georgian,Estonian,Gan,Maori
Aircraft:jet,fighter,helicopter,jumbo,bomber,airbus,glider,tanker,airship,biplane
Christmas:spice tea,greetings,punch,ham,sweet potato,merry,dressing,miracle,Gloria,Advent,candy cane,pumpkin pie,Noel,goodwill,prophecy,donkey,ceremonies,Bethlehem,brandy,jubilee,cranberry sauce,plum pudding,Savior,Emmanuel,proclamation
Emotion:defeated,relaxed,unfair,honored,loyal,spite,responsive,shy,intuitive,blunt,harsh,uncertain,shocked,delighted,explosive,passionate,sour,reflective,humble,hostile,rude,terrific,lively,sensible,fury,volatile,depressed,frustrated,hatred,destructive
Character:lazy,generous,brutal,annoying,brave,savage,clever,neat,stern,relaxed,loyal,cruel,eager,humble,rude,ambitious,messy,energetic,grim,vain,humane,vicious,tense,polite,cautious
Art:outline,trace,restore,shade,sketch,chalk,stencil,carve,doodle,etch,chisel,sculpt,emboss,daub
Geography:elevation,cliff,cove,reservoir,Antarctica,continent,longitude,degree of longitude,marsh,altitude,compass,compass rose,meridian,prime meridian,contour,contour line,wetland,volcano,glacier,nautical chart,strait,Antarctic Circle,lagoon,swamp,hemisphere,Eastern Hemisphere,Western Hemisphere,Southern Hemisphere,Northern Hemisphere,butte
Virtue:worthy,mercy,courage,sympathy,patience,loyalty,simplicity,enthusiasm,dignity,compassion,morality,honorable,cleanliness,questioning,honesty,purity,goodwill,curiosity,persistence,innocence,restraint,kindness,forgiveness,obedience,affection
Weather:breeze,sea breeze,land breeze,torrent,chill,wind chill,wind chill factor,stationary front,dust devils,accumulation,drift,drought,rainfall,wind sock,vapor,vapor trail,mist,flooding,feeder bands,freezing,freezing rain,fluids,almanac,dull,wedge,melt,knot,wind shear,avalanche,disturbance
Ache:infection,fever,headache,cough,sore throat,stomach ache,chills,runny nose,earache,backache
Body:spine,waist,iris,shoulders,organs,spinal column,spinal cord,toes,skull,senses,knees,pupil,ankle,chin,thyroid,bladder,elbow,artery,beard,urinary system,vein,skeleton,digestive system,lungs,jaw,calf,cheek,hips,nerves,shin
Halloween:phantom,mysterious,nightmare,owl,treats,demon,skull,ninja,zombie,scream,pirate,elf,tomb,mist,pumpkin,haunted house,goodies,pretend,imp,clown,skeleton,scare,sweets,shocking,boo,gown,corpse,grim,lantern,flashlight
Dinner Table:fork,mug,spoon,pitcher,saucer,napkin
Law:grief,authorize,recruit,dedication,offender,deed,cease fire,dignity,probation officer,arsenal,lieutenant,accidental,invasive,administer,bail,abide,appoint,immunity,unlawful,pedestrian,violate,prosecutor,fairness,petty theft,sergeant,improper,irregular,unacceptable,lien,honesty
Food:coconut,straw,citrus,soda,soda bread,peach,stove,nutrient,crisp,snack,squid,crab,bake,sour,sour cream,jelly,grape,cocoa,peanut,peanut butter,ginger ale,sushi,lima beans,pumpkin,barbecue,appetite,mushroom,toast,roast,pot roast
Dog:Boston terrier,rat terrier,fox terrier,Yorkshire terrier,Scottish terrier,Norfolk terrier,bull terrier,Jack Russell terrier,kerry blue terrier,West Highland white terrier,cur,boxer,bark,Brittany,great Dane,pedigree,bloodhound,retriever,golden retriever,Labrador retriever
Mathematics:notation,scientific notation,altitude,gram,lateral,coefficient,subset,supplementary,qualitative,oblique,pre calculus,geometric,inequality,weigh,rectangular,apex,abundant,symmetry,coherent,reciprocal,premise,continuum,friction,scalar,helix,speculation,arithmetic,multiply,tertiary,analogue
Business:deficit,reject,dispatch,employ,remind,turnover,complain,authorize,recruit,borrow,convince,competitor,owe,lend,debtor,disadvantage,dismiss,apology,creditor,wholesaler,resign,shorten,lengthen
Container:purse,vault,enclosure,pod,handbag,drawer,backpack,cone,bucket,ice bucket,vase,pouch,locker,stein,tote,sack,hopper,baggage,crate,milk crate,carton,goblet,urn,briefcase,jug
Biome:heath,aquatic,marsh,salt marsh,woodland,Mediterranean woodland,ecosystem,freshwater marsh,playa,meadow,wet meadow,wetland,terrestrial cave,swamp,scrub,Mediterranean scrub,savanna,sea trench,deep sea trench,riparian zone
Sewing:chain stitch,top stitch,cross stitch,embroidery,linen,rotary cutter,elastic,woven,styling,pin cushion,garment,needles,tailor,knot,tracing wheel,batting,cuff,ruler,tack,upholstery needle,chalk,scissors,notions,zipper,crochet
Clothes:jumper,sweat shirt,fedora,elastic,umbrella,outfit,diaper,trousers,sweater,crew neck sweater,sock,vest,outerwear,sweatshirt,boxer shorts,garment,scarf,buckle,gown,evening gown,ball gown,hospital gown,wedding gown,cap and gown,stole,bathing suit,cuff,cuff links,zipper,beanie
Smoking:cigarette butt,tar,passive smoke,vending machine,smoker,light smoker,heavy smoker,chain smoker,non smoker,nicotine
Water:irrigation,waterproof,reservoir,marsh,ice crystals,wetlands,waterfront,dew,dew drop,vapor,water vapor,playa,freezing rain,inlet,glacier,strait,hail,runoff,lagoon,saturated,swamp,boil,kettle,moist,waterfall,blizzard,saline,effluent,damp,saltwater
Election:voting booth,front runner,Democrat,promises,speeches,ballot,ballot box,elect,electoral college,voter,straw vote,delegate,super delegate,stance,referendum,runoff,incumbent,loser,politician,precinct,caucus,tally,plurality,absentee ballot,electorate,lobbyist,midterm elections,recount,suffrage,redistricting,elector,gerrymander
Family:faithful,aunt,great aunt,cousin,first cousin,second cousin,first cousin once removed,papa,inheritance,grandfather,great grandfather,grandmother,great grandmother,maternal,offspring,grandma,grandchildren,mommy,natal,groom,lineage,kin,ancestor,sibling,buy the groceries,brotherhood,nephew,orphan,grandson,great grandson
Animal:snow goose,hen,puma,cur,marine mammals,black racer,boxer,moose,lynx,panther,panda,red panda,dove,white dove,rock dove,beetle,dinosaur,kitten,roach,lobster,zebra,tuna,donkey,flea,calf,red hooded duck,pigeon,parrot,African gray parrot,great Dane
Weapon:rifle,assault rifle,automatic rifle,foil,baton,explosive,shooter,arrows,whip,Bowie knife,kris,spear,pistol,mustard gas,blaster,axe,battle axe,magnum,ammunition,dart,darts,explosives,shotgun,mortar,firearm
Fire Fighting:flame,hose,hook and ladder truck,smoke jumper,ambulance,parachute,fireman,arson,wrecking bar,fire extinguisher,fire hydrant
Motorcycle:back tire,front tire,fender,brake pedal,clutch lever,brake lever,headlight,muffler,shock absorber,spokes,handlebar,speedometer
Job Related:collective bargaining,justified,marital status,vacancy,overtime,sliding scale,delegate,union delegate,shortage of labour,breakthrough,administer,unemployed man,simplify,handicap,behave,apprentice,dismissal,trainee,felony record,divorced,dismiss,remuneration,shortage of manpower,next of kin,teamwork work,craftsman,foreman,apprenticeship,supervise,artisan
Bird:western spotted owl,swallow,goose,snow goose,Hawaiian goose,Canada goose,hen,congregation,feather,dove,white dove,turtle dove,rock dove,avian,kite,red hooded duck,pigeon,rock pigeon,parrot,African gray parrot,canary,flock,scrub jay,gull,ring billed gull
Furniture:window shades,buffet,closet,couch,vanity,grandfather clock,crib,wardrobe,cushion,canopy bed,porch swing,curtains,throne,stool,bar stool,rocking chair,bookshelf,sectional,sectional sofa,mantle,chest of drawers,valet,clothes valet,cot,sleeper sofa,Venetian blinds,ottoman,dresser,bunk bed,chandelier
Vehicle:taxi,dump truck,concrete mixer,tractor,crane truck,ambulance,scooter,road grader,minibus,taxicab,bulldozer,wrecker,sidecar,snowplow
Happiness:glorious,bliss,heavenly,amusement,cheer,rhapsody,delightful,appealing,volunteering,hilarious,smiles,fortunate,warmth,fulfilled,optimistic,blessings,thrill,grandparents,welcoming,positives,jackpot,kindness,jolly,radiant,amusing,affection,gratitude,stimulated,usefulness,thankful
Music:bounce,melody,flute,cue,sweep,fade,trumpet,tempo,shortcut,compressor,chord,hum,modulation,latency,sax,sonata,whistle,harp,viola,tenor,scrub,cello,mute,compose,clarinet,automate,dolce,octave,saxophone,gong
Predator:jaguar,shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey
Apex Predators:jaguar,shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey
Food:spicy,burger,cinnamon,smoked,syrup,maple syrup,dough,rosemary,lobster,sweets,pitcher,plum,water chestnut,digestive system,sesame seed,sausage,popcorn,cereal,tuna,spices,mustard,mustard greens,submarine sandwich,basil,prime rib,supper,calorie,fats,mandarin orange,oyster
Olympic:boxing,volleyball,softball,fencing,gymnastics,equestrian,archery,rowing,badminton,triathlon,canoeing,judo,aquatics,handball,weightlifting,modern pentathlon
Sport:boxer,rodeo circuit,playoffs,fencing,competitor,gymnastics,kung fu,equestrian,skeleton,pitcher,referee,slash,archery,jacks,kite,archer,clean and jerk,karate,batting,kayaking,kayak,sack,loser,rowing,billiards,rafting,white water rafting,diver,hoops,dart
Headgear:pork pie,Viking helmet,knit cap,ten gallon hat,fedora,skull cap,straw hat,scarf,equestrian helmet,batting helmet,beanie,tam,Juliet cap,visor,motocross helmet,bonnet,sun bonnet,tiara,bowler,bandana
Color:rust brown,crimson,pewter,pumpkin,indigo,cinnamon,asphalt,turquoise,burgundy,plum,chestnut,shocking pink,hazel,scarlet,mustard,maroon,mahogany,mandarin blue,lyons blue,ming blue,cobalt,cobalt blue,canary,amethyst,bordeaux,tapestry red,magenta,topaz,thistle,buff
Kitchen:slow cooker,rice cooker,spoon,stove,espresso machine,dishwasher,whip,opener,bottle opener,can opener,dough,cutlery,pitcher,spices,blender,teaspoon,boil,kettle,chop,grinder,meat grinder,coffee grinder,pepper grinder,sponge,thermometer,meat thermometer,nesting bowls,nut cracker,toaster,toaster oven
Tool:tube cutter,bolt cutter,clamp,pipe clamp,lever,razor,torch,jigsaw,wedge,coping saw,spear,axe,ruler,tack,chalk line,scissors,grinder,sponge,cutters,brace,pinch,propane torch,wrench,monkey wrench, basin wrench
Holiday:Easter,Boxing Day,Mardi Gras,Thanksgiving,Martin Luther King,Arbor Day,countdown,Passover,Royal Hobart Regatta,Hanukkah,Ramadan,Emancipation Day,Groundhog Day,Bastille Day,Diwali,Kwanzaa,Purim,Yom Kippur,Guy Fawkes Day
Physics:volatile,symmetry,ounce,inverse,impulse,coherent,wavelength,pascal,amplitude,friction,loft,scalar,electromagnetic,resolving,alteration,disturbance,photon,dispersion,kinetic,calorie,parity,acoustics,radiant,reversal,piston,kinetics,overload,liquids,quark,angular
Building:pyramid,bakery,observatory,duplex,tomb,lighthouse,detached house,hut,haunted house,chateau,coop,saloon,supermarket,shack,tavern,fortress,condominium,chalet,courthouse,shrine,exposition hall,foundry,monastery,townhouse,mosque,bunker,crypt,conservatory,shoppe,kiosk
Plant:gum,cone,woody,bamboo,ivy,poison ivy,vine,bark,canopy,sunlight,evergreen,vein,blossom,fertilizer,clover,cactus,foliage,perennial,embryo,horticulture,pollen,lead scar,botany,juniper,fern,tree fern,acorn,leaflet,imperfect flower,shrub
Measure:megapixel,gram,spoon,gill,weigh,carat,ounce,fluid ounce,liquid ounce,troy ounce,percentile,knot,nautical mile,liter,teaspoon,ruler,sack,mole,breadth,octave,thermometer,pinch,quart,dry quart,micron,peck,folio,pint,dram,quadrant
Personal Characteristic:well educated,motivated,modest,faithful,diplomatic,sensible,constructive,ambitious,candid,humorous,energetic,dependable,impartial,aspiring,sweat tempered,disciplined,temperate,adaptable,ingenious,purposeful
Science:fossil,telescope,immunology,biochemistry,molecule,microbiology,observatory,organism,radiology,weigh,microscope,glassware,datum,thermometer,botany,meteorology,zoology,geophysics,astrophysics,flask,funnel,Petri dish,entomology,magnetism,volumetric flask
Dessert:coconut cream pie,soda,soda bread,apple crisp,jelly,peanut butter cookie,pumpkin pie,whip cream,French toast,cinnamon roll,sweets,upside down cake,almond cookie,sponge cake,pastry,Danish pastry,pudding,rice pudding,bread pudding,vanilla pudding,fudge,carrot cake,frozen yogurt,tart,caramel apple
Military:compartment,turbine,ally,petty officer,sergeant,battalion,relieve,knot,spear,pistol,admiral,squadron,haul,rig,submarine,axe,fortress,conquest,ammunition,artillery,rocket artillery,siege,mast,garrison,encode,wharf,shotgun,swell,sniper,chow
Insect:insect,tick,beetle,Japanese beetle,ground beetle,tiger beetle,roach,admiral butterfly,flea,comma butterfly,mosquito,monarch,stag beetle,dragonfly,caterpillar,sulphur butterfly,firefly,longhorn beetle,moth,atlas moth
House:barbecue,air conditioner,porch,curtains,attic,blinds,weather stripping,garage door opener,chateau,cellar,fuse box,furnace,rocking chair,loft,duct,shack,upstairs,condominium,siding,chimney,window pane,mantle,driveway,chest of drawers,townhouse,faucet,mop,plaster,bungalow,hinge
Amphibian:ground frog,red eyed tree frog,moss frog,leopard frog,tailed frog,barking frog,toad,European toad,western toad,true toad,black toad,siren,dwarf siren,red legged frog,newt
Astronomy:proton,wavelength,comet,astronomical unit,red dwarf,dwarf star,yellow dwarf,white dwarf,dwarf planet,terrestrial,cosmos,mare,corona,photon,inferior planets,neutron,neutron star,radiant,Pluto,docking,Roche limit,zenith,celestial,Mir,flare,terminator,Doppler shift,crater,Neptune,helium
Driving:scenery,pedal,accelerator,double parked,curb,pavement,pedestrian,pedestrian crossing,interchange,gravel road,accelerate,asphalt,dent,zebra crossing,tow truck,freeway,sidewalk,driveway,steer,stall,roadway,arterial road,rollover,speeding,speeding ticket,headlights,skid,motorway,gutter,snow plow
Emotion:malicious,amazed,enthusiastic,anxious,suspicious,anticipate,humorous,thoughtful,unhappy,neglected,ignorant,sorrow,insightful,reluctant,exhausted,pity,adorable,welcoming,fierce,jolly,wrath,envy,despair,authoritative,vicious,tense,bothered,resigned,awe,jealous
Negative Feeling:exploited,ridiculous,depressed,haunted,abused,judged,frustrated,hated,anxious,ignorant,mistaken,discarded,bothered,jealous,lied to,deprived,furious,drained,miserable,deficient,ineffective,blamed,criticized,awkward,confronted
Visual Arts:painter,sketch,mosaic,brightness,charcoal,solvent,erase,graffiti,masterpiece,graphite,ruler,enamel,chalk,colored pencils,palette,palette knife,wood carving,realism,engraving,wood engraving,collage,decorate,blending,pastel,quilting,watercolor,pigment,stencil,depict,kiln
Grammar:regular noun,proper noun,noun clause,verb,linking verb,auxiliary verb,irregular noun,singular,comma,tense,future tense,present tense,past tense,analogy,morphology,metaphor,acronym,slang,plural,predicate,subordinate clause,abbreviation,synonym,contraction,punctuation
Appearance:wan,colorful,vivid,vibrant,dull,shiny,glossy,matte,sleek,radiant,faded,glowing,blazing,weathered,muted,drab,pallid
Instrument:violin,orchestra bells,flute,trumpet,harp,viola,tenor drum,clarinet,saxophone,gong,chimes,trombone,snare drum,oboe,celeste
Bathroom:tissues,lotion,whirlpool,razor,razor blade,conditioner,shampoo,bubbles,shaving cream,shave,scissors,nail scissors,comb,aspirin,sponge,soap dispenser,shower stall,faucet,curling iron,nail clippers,shaver,bathtub,wipes,emery board,hamper
Design:pixel,transform,texture,coating,caption,gradient,rectangle,palette,saturation,serif,bleed,blur,folio,hue,raster,gutter,tint,opacity,swatch,skew,vignette,bevel,emboss,dither,halftone
Bread:wheat bread,cheese sticks,garlic bread,rye bread,biscuits,crackers,muffins,English muffins,pancakes,waffles,doughnuts,sourdough bread,croissant
Flower:orchid,mock orange,peach blossom,orange blossom,apple blossom,cosmos,veronica,corpse flower,clover,magnolia,jasmine,tulip,thistle,sunflower,sweet pea,poppy,California poppy,kangaroo paw,lilac,hawthorn
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Law:lethal,suspicious,speculation,referendum,felony,obey,oath,glimpse,riot,ammunition,suspicion,precinct,safeguard,grievance,robbery,deliberate,obedience,sworn,kin,testify,leaks,repeal,mayhem,suppress,precedent,confession,fingerprint,reinforcement,affidavit,toxicology
Energy:nuclear reactor,coke,sunlight,turbine,wind turbine,steam turbine,gas turbine,furnace,ethanol,electromagnetic energy,biomass,boiler,oil rig,photon,kinetic energy,radiant,absorb,tidal power,carbon footprint,horsepower,propane,entropy,methane,inverter,alternating current,peat,blackout,geothermal,hydrocarbon,Kelvin scale
Biology:inherited traits,dinosaur,linkage,skeleton,microscope,cavity,terrestrial,backbone,radial,analogue,decomposition,oxidation,malignant,estrogen,stimulus,reflex,cyclic,embryo,horticulture,isolate,algae,collagen,pollen,heterogeneous,botany,ancestor,instinct,benign,homogeneous,lymph
