Degree:degree,master,certificate,doctor,bachelor,diploma
Mineral:emerald,quartz,graphite,agate,bismuth,halite
Salad Dressing:oil and vinegar,house dressing,blue cheese,thousand island,French dressing,ranch,vinegar
Bill:write a check,account number,check book,credit card,amount due,cash,overdue
Continent:South America,North America,Australia,Europe,Africa,Asia,Antarctica
Day of Week:Friday,Monday,Sunday,Tuesday,Saturday,Thursday,Wednesday
Money:bill,quarter,dollar,cent,coin,penny,nickel,dime
Storage:bureau,cabinet,chest,buffet,bookshelf,bookcase,sideboard,credenza
Luggage:carry on bag,makeup case,tote bag,garment bag,duffle bag,luggage carrier,trunk,suitcase,knapsack
New Year:January,December,party,calendar,holiday,resolution,midnight,celebrate,countdown
Football:end,middle guard,guard,tackle,quarterback,linebacker,cornerback,fullback,halfback
Headgear:baseball cat,cap,hat,ear muffs,helmet,scarf,bandana,beret,hardhat
Linguistics:regular,marked,descriptive,taxonomic,figurative,generative,unproductive,diachronic,synchronic
Harbor:ship,dock,crane,lighthouse,wharf,buoy,shipyard,breakwater,tugboat
Shopping:box,category,market,cart,payment,seller,purchase,discount,cash,owner,retail,membership,fair,buyer,balance,bag,chain,vendor,outlet,bargain,mall,receipt,refund,mart,rebate,booth,boutique,debit,emporium,bazaar
Quantity:many,both,another,every,few,several,either,none,increase,remove,reduce,grow,raise,numerous,extend,boost,decrease,maximize,shrink,multiply,subtract,diminish,lessen,augment,shorten,accrue,magnify,deflate,condense,abridge
Bank:security guard,bounced check,joint account,interest,savings account,checking account,foreign currency rate,bill,loan,manager,cash,mortgage,foreign exchange,currency,savings,guard,deposit,bills,alarm,coins,ATM,burglar alarm,vault,withdraw,borrow,lend,cashier,teller,forgery,passbook
Communicate:message,phone,text,call,talk,chat,express,ring,speak,remark,gossip,scream,shout,bark,jaw,converse,whisper,chatter,yak,drone,babble,murmur,gulp,blather,slur,rasp,stammer,blurt,cackle,schmooze
Manupulation:place,change,create,put,edit,sort,turn,copy,lower,connect,separate,delete,replace,modify,raise,split,throw,extend,combine,stretch,swap,organize,trash,merge,shrink,tweak,compress,widen,shorten,lengthen
Sport:win,sport,golf clothes,fitness,football,pool,race,target,horse racing,gear,jump,ball,goal,ice,league,exercise,diamond,walk,defense,quarter,baseball,basketball,skin diving,winning,tag,baseball hat,row,cycle,ski wear,ski
House:furniture,foundation,bed,glass,hall,kitchen,wall,front yard,door,floor,television,wood,studio,fan,master bedroom,chair,workshop,desk,wire,apartment,bedroom,lock,paint,rocking chair,mirror,bath tub,concrete,trailer,castle,bathroom
3D Graphics:move,object,sample,hair,distance,pass,surface,flow,scale,frame,path,motion,edge,birth,draft,lighting,script,ray,depth,clip,font,scene,import,alpha,sky,spot,shape,tracking,array,export
Algorithm:tree,string,block,capacity,flow,parent,path,certificate,forest,edge,root,dictionary,bag,factor,configuration,branch,chain,sequence,bridge,pattern,depth,height,cycle,reduction,matrix,combination,circuit,array,relation,bound
City Name:mexico,saint paul,los angeles,boston,paris,las vegas,goes,fort worth,tours,colorado springs,houston,seattle,hong kong,atlanta,el paso,dallas,austin,toronto,philadelphia,miami,singapore,phoenix,le mans,orlando,sydney,le havre,le tampon,fort wayne,denver,santa ana
Geography:capital,channel,degree,hill,valley,sea,earth,mountain,scale,nation,forest,stream,creek,chart,ocean,cape,delta,peak,plain,border,territory,parallel,legend,desert,woods,globe,gulf,atlas,canyon,projection
Physics:distance,internal,pressure,surface,electric,critical,closed,league,phase,foot,mass,heat,chain,inch,electrical,laser,nuclear,binding,frequency,cycle,henry,beat,optical,relative,stress,wave,meter,mile,shift,magnetic
Building:apartment building,airport,gas station,station,hall,hospital,plant,restaurant,museum,train station,bridge,fort,laboratory,bus terminal,theater,factory,lodge,terminal,tower,stable,cinema,garage,cafe,temple,prison,mall,palace,arena,mill,stadium
Age:old,advanced,recent,young,mature,modern,fresh,vintage,contemporary,raw,ancient,novel,antique,aged,juvenile,worn,obsolete,immature,shabby,stale,ragged,archaic,primordial,tattered,hoary,frayed,trite,senile,grizzled,threadbare
State:kansas,arizona,pennsylvania,oregon,minnesota,indiana,wisconsin,hawaii,massachusetts,iowa,maryland,alaska,missouri,tennessee,oklahoma,alabama,utah,kentucky,maine,louisiana,mississippi,connecticut,nevada,arkansas,montana,idaho,nebraska,vermont,delaware,wyoming
Geometry:normal,surface,fixed,square,couple,edge,minute,solid,rank,disk,ray,height,translation,circuit,interior,circle,linear,slide,node,formula,grid,parallel,plane,leg,angle,vertical,dimension,alternate,axis,median
Accounting:capital,contract,basis,budget,trust,debt,flow,balance,gain,cycle,shares,liability,bond,inventory,asset,lease,bankruptcy,expense,expenditure,appreciation,auditor,dividend,collateral,annuity,ledger,contingency,accrual,buyout,actuary,callable
Network:resolution,session,patch cable,driver,path,switch,multi hop,bridge,protocol,layer,transmission,adapter,node,transaction,gateway,router,twisted pair,ethernet,packet,segment,lan,firewall,mask,hub,passive,ping,collision,backbone,latency,unshielded
Algorithms:random,brute force,universal,extended,matching,reduced,dynamic,connected,proper,hidden,linear,constant,offline,objective,exact,formal,terminal,ordered,parallel,stable,oriented,absolute,visible,covering,nearest,partial,uniform,median,binary,inclusive
Corporate job:executive,agent,officer,buyer,developer,assistant,associate,designer,representative,administrator,writer,specialist,engineer,consultant,controller,instructor,analyst,producer,coordinator,supervisor,clerk,planner,trainer,architect,technician,facilitator,comptroller,strategist,liason,orchestrator
Book:chapter,contents,inside margin,edge,explanatory notes,dictionary,paperback,joint,column,encyclopedia,hardcover,appendix,novel,jacket,brochure,bibliography,heading,textbook,groove,spine,booklet,dedication,footnote,almanac,flap,preface,periodical,acknowledgments,pamphlet,flyleaf
Startup:option,interface,strategy,stage,funding,equity,beta,angel,investor,exit,acquisition,seed,deck,venture,burn,crowd,cloud,founder,preference,pitch,startup,entrepreneur,valuation,accelerator,capitalist,iteration,liquidation,incubator,wireframe,influencer
Christmas:Lord,Christmas cookies,spirit,birth,Jesus,festival,Joseph,turkey,holy,babe,sweet potato,stable,trips,spice tea,announcement,tradition,candy,angels,bread,camel,sauce,butter,pie,candles,sacred,stockings,celebrate,mince meat,candy cane,Jerusalem
Car Parts:master cylinder,fan belt,seat,clock,temperature gauge,emergency brake,rear seat,wheel,transmission,headlight switch,converter,emergency flare,mirror,boot,wheels,steering wheel,bucket seat,rack,sensor,valve,trunk,distributor,rearview mirror,starter,brake,tire,differential,cabin,horn,cylinder
Subject:medicine,German,literature,architecture,economics,physics,philosophy,math,mathematics,chemistry,psychology,biology,drama,geography,PE,astronomy,gym,geometry,sociology,anatomy,algebra,geology,anthropology,archaeology,calculus,botany,zoology,archeology,trigonometry,keyboarding
Time:hour,recently,century,sometimes,zone,minute,yesterday,cycle,moon,tomorrow,alarm,era,decade,atomic,millennium,rarely,timer,lately,quartz,rotate,epoch,chimes,equinox,pendulum,fortnight,hourglass,revolve,stopwatch,sundial,millisecond
Construction:column,rise,circuit,hip,cap,plate,template,soil,clearance,adapter,paint,router,concrete,flashing,layout,ridge,cabinet,roof,offset,beam,cricket,threshold,brad,trim,grain,soldier,tongue,gauge,pitch,blend
Design:row,import,layer,proof,width,sharp,export,spread,template,circle,border,bright,landscape,banner,smooth,contrast,convert,layout,vector,thumbnail,mask,crop,curve,portrait,margin,pixel,transform,texture,coating,caption
Phones:voice,skin,coverage,touch,speaker,frequency,carrier,wallpaper,upload,ringtone,modem,packet,bandwidth,analog,binary,app,antenna,subscriber,headset,activation,byte,pixel,tap,stylus,infrared,firmware,duplex,codec,latency,accelerometer
Movement:stay,turn,race,stand,skip,jump,walk,hop,sit,rush,spin,sprint,dash,bolt,hike,hurry,crawl,stroll,tread,sway,roam,crouch,ramble,gallop,stagger,slog,amble,hobble,scamper,hurtle
Travel:checkout,origin,destination,seat,ticket,operator,transit,coach,leisure,carrier,mile,delay,pilot,gate,leg,passenger,confirmation,hub,passport,taxi,porter,mileage,fare,continent,itinerary,concierge,consulate,kilometer,concourse,layover
Real Estate:option,agent,rent,grant,buyer,equity,inventory,lease,yield,broker,margin,inflation,assumption,appreciation,zoning,appraisal,tenant,rehab,deed,leverage,foreclosure,lien,originator,easement,recourse,guaranty,underwriter,guarantor,grantor,encumbrance
Country:Iran,Taiwan,Greece,Pakistan,Egypt,Poland,Vietnam,Malaysia,Philippines,Indonesia,Argentina,Ukraine,Afghanistan,Kenya,Saudi Arabia,Peru,Romania,Colombia,Venezuela,Nepal,Nigeria,Bangladesh,Morocco,Congo,Tanzania,Sudan,Uganda,Syria,Ghana,Ethiopia
Stationery:letter opener,clip,tape,label maker,ring binder,desk pad,correction tape,magic marker,desk tray,folder,tape dispenser,pen,hanging folder,rubber stamp,glue stick,correction fluid,stamp rack,fountain pen,ballpoint pen,pencil,staples,clamp binder,clipboard,pencil sharpener,staple remover,ruler,fastener binder,eraser,stapler,dater
Weather:dry,forecast,moon,sky,rain,warm,storm,hurricane,radar,cloudy,flood,rainbow,cloud,sunny,clouds,humidity,calm,lightning,arctic,precipitation,fog,mild,thunder,tsunami,frost,freeze,dew,chill,freezing,hail
Gaming:adventure,flag,spam,scene,gun,plasma,rail,animation,horror,skill,combat,weapon,squad,trigger,particle,geometry,reward,rocket,clan,bind,texture,tactics,burst,bot,HUD,lag,cockpit,polygon,grenade,twitch
Tool:metal snips,tube flaring tool,sharpening stone,wire brush,router,chain pipe wrench,plane,ball peen hammer,wire stripper,paint brush,rib joint pliers,soldering gun,knife,tube cutter,pipe clamp,pipe wrench,pitch fork,drill,hammer,adjustable wrench, basin wrench,putty knife,lawn rake,monkey wrench,lawn edger,finishing sander,spading fork,torch,locking pliers,jigsaw
Food:beer,meat,taste,cheese,cake,pizza,candy,bread,pot,egg,cookie,juice,sauce,eggs,soup,grill,butter,pie,oils,olive,vegetables,nuts,salad,paste,wheat,cuisine,beans,spice,nut,sandwich
Filmmaking:assistant,credits,designer,operator,genre,loop,plot,cinema,producer,analog,supervisor,costume,spec,synopsis,composer,grip,boom,microphone,adaptation,bounce,prop,wardrobe,loader,foley,dolly,callback,stunt,antagonist,decorator,protagonist
Catering:plate,cooking,chocolate,dish,rice,lunch,chicken,beer,cheese,meal,knife,sauce,soup,grill,starter,pepper,vegetables,salad,fork,vegetarian,bacon,buffet,freezer,dessert,spoon,roast,slices,pastry,weighed,utensils
Radio:gain,frequency,spot,FM,engineer,broadcast,console,producer,pot,analog,announce,hook,pitch,playlist,queue,promo,amplifier,interference,bumper,transmit,transmitter,liner,ramp,cue,clutter,sting,billboard,jingle,narrator,turntable
Typography:character,column,em,font,width,symbol,bold,roman,margin,baseline,bullet,headline,gothic,italic,hint,flush,align,oblique,kern,serif,slab,orphan,indent,gutter,ragged,humanist,pica,ellipsis,ligature,ascender
Color:gray,bone,jet,purple,desert,ebony,brass,mint,coal,amber,camel,corn,bronze,salmon,tan,olive,heather,ash,coral,ivory,auburn,emerald,champagne,tomato,lime,denim,beige,violet,charcoal,rust
Body:bone,leg,neck,ear,throat,toe,finger,chest,shoulder,thumbs,nose,tongue,teeth,fingers,lips,nail,knee,lip,nipple,ears,thumb,stomach,flesh,wrist,tooth,waist,shoulders,toes,knees,ankle
Character:sensitive,bold,proud,quiet,tough,wise,careful,pleasant,honest,violent,elegant,excited,sophisticated,tender,curious,intense,nervous,calm,accepting,gentle,silly,mild,merry,refined,charitable,lazy,generous,brutal,annoying,brave
Car:motor,joint,wheel,transmission,converter,mirror,rack,sensor,valve,starter,differential,cabin,cylinder,bumper,heater,booster,clutch,compressor,radiator,manifold,rotor,condenser,strut,canister,gearbox,muffler,alternator,caliper,drivetrain,crankshaft
Crime:illegal,alarm,rob,prison,escape,fraud,murder,armed,ban,knife,investigate,assault,weapon,burglar alarm,arrest,jail,conspiracy,steal,bail,genocide,riot,robbery,homicide,burglary,kidnapping,smuggling,espionage,treason,arson,burglar
Condiment:oil,salt,sweet pickle,sour cream,sauce,honey,butter,pepper,olive,onion,garlic,chili,salsa,mustard,vinegar,dill pickle,relish,margarine,mayonnaise,ketchup,pesto,horseradish,miso,chutney,wasabi,chives,sauerkraut,catsup,remoulade,sriracha
Meat:turkey,chicken,chicken leg,chicken wing,buffalo,beef,tongue,rabbit,duck,kidney,ham,lamb,pork,bacon,goat,elk,lamb chop,steak,roast,sausage,bison,hamburger,alligator,quail,caribou,yak,veal,pheasant,venison,mutton
Material:vinyl,sand,fiber,copper,brass,aluminum,wooden,nylon,bronze,brick,wool,titanium,acrylic,metallic,polyester,alloy,cement,linen,glue,ceramics,cardboard,fiberglass,epoxy,wicker,silica,oily,watery,gilded,viscose,woolen
Clothes:boots,belt,jacket,pants,tie,shorts,coat,jeans,gloves,pantyhose,skirt,stockings,socks,jumper,trousers,sweater,vest,sweatshirt,scarf,slippers,pajamas,blouse,cardigan,overalls,slacks,underpants,raincoat,overcoat,undershirt,underclothes
People Related:exciting,thin,athletic,lucky,romantic,sad,attractive,careful,angry,confident,ugly,boring,horrible,charming,brave,clever,outgoing,cruel,humble,wealthy,skinny,humorous,energetic,overweight,amusing,selfish,dependable,graceful,careless,crafty
Instrument:double bass,French horn,bass drum,piano,recorder,triangle,snare drum,violin,flute,trumpet,harp,viola,clarinet,saxophone,gong,trombone,oboe,tuba,baritone,piccolo,bassoon,cymbal,bugle,cornet,euphonium,xylophone,timpani,flugelhorn,sousaphone,castanet
Shape:circle,broad,narrow,thin,irregular shape,thick,pointed,slim,triangle,oval,cylinder,sphere,bent,cone,pentagon,rounded,pyramid,skinny,wedge,rectangle,chunky,ellipse,hexagon,octagon,whorl,trapezoid,boxy,blocky,parallelogram,semicircle
Chemistry:frequency,wave,concentration,radiation,ion,compound,velocity,electron,mixture,particle,catalyst,decay,molecule,combustion,nucleus,proton,wavelength,solvent,photon,neutron,octet,mole,entropy,cathode,anode,hydrolysis,electrolysis,solute,anion,effusion
Instruments:tom tom,steel drums,bass drum,drum,ride cymbal,bell lyre,orchestra bells,tenor drum,crash cymbals,triangle,snare drum,splash cymbal,gong,chimes,celeste,cymbals,cymbal,scraper,sizzle cymbal,cowbell,conga,marimba,xylophone,bongos,timpani,vibraphone,maracas,timbales,castanets,glockenspiel
Water:gulf,wash,shore,surf,basin,bend,oasis,pond,dam,coral,canal,fork,rapids,reef,brook,cove,reservoir,marsh,playa,inlet,glacier,strait,lagoon,swamp,kettle,loch,arroyo,bayou,estuary,bog
Container:chest,pot,container,trunk,tin,basin,luggage,tub,tray,cube,cooler,barrel,jar,purse,vault,pod,drawer,backpack,bucket,vase,pouch,locker,tote,sack,baggage,crate,carton,urn,briefcase,jug
Animal:spider,rabbit,sheep,beaver,bee,duck,cow,frog,bat,snake,pig,jaguar,puppy,lamb,ant,elephant,shark,turtle,goat,owl,dolphin,goose,hen,puma,lynx,panther,panda,kitten,lobster,zebra
Emotions:crazy,mad,glad,sad,afraid,excited,sunny,angry,calm,worried,scared,shy,lively,jolly,tense,furious,cheerful,weary,icy,wary,tranquil,upbeat,rosy,frigid,seething,livid,crabby,jovial,glum,ornery
Transportation:train,swimming,jet,motorcycle,ferry,bicycle,taxi,yacht,helicopter,airplane,scooter,subway,canoe,submarine,kayak,raft,dinghy,sailboat,surfboard,catamaran,streetcar,hovercraft,seaplane,freighter,motorboat,speedboat,rowboat,hydrofoil,ferryboat,dogsled
Driving:rev,median,shoulder,curve,tail,brake,tunnel,barrier,terrace,boulevard,intersection,merge,alley,ramp,parkway,curb,accelerate,freeway,sidewalk,stall,roadway,skid,motorway,gutter,causeway,detour,overpass,cobblestone,underpass,cloverleaf
Plants:sage,sap,berry,jungle,nut,weed,herb,moss,cork,spine,lily,resin,bulb,flora,bud,bamboo,ivy,vine,bark,vein,clover,cactus,pollen,juniper,fern,acorn,shrub,thorn,corolla,nectar
Cooking:knife,steam,grill,microwave,fork,measuring spoon,timer,dip,stir,slice,fry,spoon,bake,barbecue,toast,roast,melt,boil,chop,scramble,simmer,thaw,saute,strainer,broil,spatula,sear,poach,potholder,braise
Job:chef,priest,actress,poet,musician,pastor,athlete,carpenter,sailor,dentist,accountant,barber,mechanic,banker,pharmacist,rabbi,tailor,politician,fisherman,butcher,magician,craftsman,veterinarian,salesman,waiter,policeman,waitress,crook,burglar,chauffeur
Machine Learning:recall,bias,correlation,batch,confusion,hypothesis,regression,ensemble,variance,convergence,residual,gradient,dataset,inference,entropy,epoch,estimator,embedding,boosting,histogram,neuron,covariance,classifier,bayes,convolution,outlier,bagging,centroid,discriminator,dataframe
Astronomy:omega,electron,radius,gravity,envelope,magnitude,flux,halo,brightness,nucleus,proton,corona,photon,neutron,relativity,convection,pulsar,photometry,neutrino,conduction,opacity,luminosity,quasar,supernova,singularity,redshift,parallax,hadron,lepton,radian
Writing:hook,narrative,formatting,myth,imprint,manuscript,autobiography,anthology,premise,motif,analogy,metaphor,parody,haiku,pun,ambiance,antagonist,parable,byline,cliche,pseudonym,novella,allegory,diction,boilerplate,euphemism,backlist,denotation,denouement,epigram
Architecture:arch,patio,terrace,pavilion,bracket,courtyard,balcony,brace,molding,truss,setback,facade,belvedere,spire,turret,gallerie,veranda,archway,portico,frieze,colonnade,pergola,cornice,cupola,parapet,balustrade,roundel,pediment,baluster,pilaster
Fruit:coconut,citrus,peach,grape,plum,grapes,pineapple,mango,cranberry,kiwi,raspberry,blueberry,apricot,melon,grapefruit,mulberry,tangerine,avocado,watermelon,raisin,prune,papaya,pomegranate,currant,citron,guava,persimmon,cantaloupe,nectarine,kumquat
Predator:shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey,cheetah,barracuda,eel,salamander,chimpanzee,dingo,jackal,komodo,petrel,fossa,mamba,ocelot,skua,civet,mandrill,serval
Apex Predators:shark,owl,cobra,lynx,badger,viper,leopard,coyote,marlin,boa,crocodile,wolverine,cougar,osprey,cheetah,barracuda,eel,salamander,chimpanzee,dingo,jackal,komodo,petrel,fossa,mamba,ocelot,skua,civet,mandrill,serval
Fish:salmon,shark,trout,tuna,carp,herring,marlin,pollock,perch,barracuda,angler,eel,snapper,halibut,flounder,mullet,mackerel,grouper,blowfish,scallop,betta,haddock,cobbler,tilapia,anchovy,sardine,ayu,barbel,amberjack,burbot
Bird:dove,pigeon,parrot,canary,pelican,sparrow,finch,flamingo,heron,condor,quail,osprey,warbler,partridge,cuckoo,lark,pheasant,loon,fowl,ostrich,grouse,thrush,seagull,stork,covey,vulture,rook,rhea,albatross,puffin
Vegetable:pumpkin,popcorn,cabbage,spinach,carrot,cucumber,lettuce,broccoli,pumpkins,celery,asparagus,soybeans,yam,eggplant,beet,cauliflower,Brussel sprouts,leek,kale,lentils,chard,turnip,radish,okra,turnips,chicory,shallot,parsnip,chive,scallion
Wine:sherry,mead,cabernet,sauvignon,madeira,chardonnay,pinot,merlot,shiraz,chianti,muscat,riesling,zinfandel,claret,chablis,beaujolais,chinon,grappa,barolo,malbec,moscato,barbaresco,prosecco,amarone,bardolino,dolcetto,marsanne,auslese,lambrusco,arneis
Frequency:every year,most times,many times,every two months,every third day,very often,three times,every week,four times,every night,every month,several times,never,every Monday,every hour,always,once,almost never,daily,almost always,usually,often,nearly always,quite often,hardly ever,sometimes,monthly,weekly,generally,frequently,twice,normally,regularly,constantly,occasionally,rarely,hourly,yearly,continuously,seldom
Prepositions:without,since,during,times,save,around,against,below,above,until,past,upon,plus,far,along,among,near,across,inside,outside,round,behind,except,regarding,mid,towards,toward,despite,till,opposite,absent,beneath,beside,alongside,aboard,underneath,amid,atop,amidst,excepting
Business:purchase,loss,brand,discount,increase,advertise,growth,commission,build,exchange,supply,lower,advice,decision,facilities,structure,fund,distribution,schedule,option,improve,budget,success,charge,opinion,output,develop,responsibility,consider,pack,goods,target,debt,instructions,remove,transport,employee,difference,accept,goal
Job Related:college,present address,previous experience,zip code,street,experience,single,age,junior college,weight,position,apply,skills,criminal record,male,marital status,female,felony record,employee,vision,physical examination,hearing,height,married,birthday,gender,certification,employer,notify,salary,occupation,quit,separated,diploma,fired,relatives,citizenship,handicap,divorced,dependents
Computer:close,database,function,method,hardware,copy,printer,menu,object,cut,command,input,output,processing,string,block,keyword,argument,multimedia,interactive,icon,delete,mouse,graphic,font,scope,replace,parameter,keyboard,modem,syntax,scanner,integer,paste,float,numeric,peripheral,literal,CDROM,snippet
Corporate:solution,capital,lead,channel,idea,opportunity,interface,forward,strategy,senior,internal,surface,relationship,creative,benefit,chief,vision,architecture,task,platform,admin,improvement,procedure,leadership,chain,partnership,portal,dynamic,infrastructure,delta,principal,investor,initiative,transition,ownership,innovation,expertise,deck,vector,skill
Time:second,never,always,month,usually,often,watch,soon,season,hour,recently,century,sometimes,zone,minute,yesterday,cycle,moon,tomorrow,alarm,era,decade,atomic,millennium,rarely,timer,lately,quartz,rotate,epoch,chimes,equinox,pendulum,fortnight,hourglass,revolve,stopwatch,sundial,millisecond,chronometer
Military:jack,frame,chief,installation,gear,ball,shot,bag,pocket,rank,element,quarter,column,bridge,draft,chart,fort,boat,void,fix,truck,wire,bird,mine,delta,dot,hop,gun,engineer,tank,pilot,boot,shell,chip,formation,captain,liberty,gang,pipe,lay
Music:switch,gear,listen,canon,bus,patch,stream,theme,guitar,column,chain,sequence,mix,disk,measure,gain,zoom,perform,conduct,minor,dynamic,import,beat,signature,circuit,layer,bass,peak,bell,sharp,lane,export,template,wave,meter,paint,delay,pan,loop,instrument
Sport:baseball hat,row,cycle,ski wear,ski,soccer,tennis,ride,motorcycle racing,baseball uniform,coach,bike,lose,crew,stick,hockey,winner,guard,swimming,catch,swimming suit,lawn tennis,throw,tie,arena,rugby,athletics,cycling,arrow,tee,cricket,skiing,stadium,bowling,mat,gym,pitch,bow,para gliding,pole
Web:bug,keyword,stream,load,touch,chart,script,alert,query,wire,static,dynamic,bookmark,mirror,grid,tab,upload,exception,buffer,graph,app,interval,debug,drag,float,tap,scroll,reload,inline,fork,timer,sync,prefix,align,refresh,popup,modal,git,embed,shim
City Name:le havre,le tampon,fort wayne,denver,santa ana,portland,orleans,lincoln,vancouver,baltimore,charlotte,bergen op zoom,pittsburgh,cleveland,detroit,buffalo,tampa,melbourne,columbus,madison,richmond,sacramento,cincinnati,dublin,nashville,milwaukee,amsterdam,tokyo,montreal,minneapolis,memphis,ottawa,durham,jacksonville,oakland,indianapolis,norfolk,barcelona,moscow,madrid
Country:Spain,Israel,Russia,Brazil,Turkey,Thailand,Iran,Taiwan,Greece,Pakistan,Egypt,Poland,Vietnam,Malaysia,Philippines,Indonesia,Argentina,Ukraine,Afghanistan,Kenya,Saudi Arabia,Peru,Romania,Colombia,Venezuela,Nepal,Nigeria,Bangladesh,Morocco,Congo,Tanzania,Sudan,Uganda,Syria,Ghana,Ethiopia,Myanmar,Uzbekistan,Algeria,Burma
3D Graphics:spot,shape,tracking,array,export,logic,mesh,lens,node,paint,loop,scan,bone,tube,smoke,simulation,buffer,pipeline,graph,shadow,atmosphere,lamp,ghost,fluid,trace,curve,highlight,cloth,intensity,velocity,pixel,particle,reflection,geometry,flip,horizon,transform,gravity,cube,rotation
Physics:wave,meter,mile,shift,magnetic,plasma,mechanical,density,voltage,angle,absolute,vector,fundamental,progressive,electricity,yard,radiation,pound,fluid,quantum,acoustic,grain,atomic,newton,velocity,electron,strain,ton,particle,volt,reflection,watt,gravity,acre,momentum,crest,absorption,dense,gallon,gram
Material:plastic,golden,felt,cast iron,iron,cotton,carbon,concrete,rubber,vinyl,sand,fiber,copper,brass,aluminum,wooden,nylon,bronze,brick,wool,titanium,acrylic,metallic,polyester,alloy,cement,linen,glue,ceramics,cardboard,fiberglass,epoxy,wicker,silica,oily,watery,gilded,viscose,woolen,chalky
Catering:tip,dinner,salt,cook,plate,cooking,chocolate,dish,rice,lunch,chicken,beer,cheese,meal,knife,sauce,soup,grill,starter,pepper,vegetables,salad,fork,vegetarian,bacon,buffet,freezer,dessert,spoon,roast,slices,pastry,weighed,utensils,waiter,waitress,napkin,sausages,hygienic,cloakroom
Algorithm:combination,circuit,array,relation,bound,node,tournament,sum,grid,algorithm,graph,segment,leaf,median,diameter,pointer,stack,tail,complexity,interval,conjunction,sink,queue,rotation,prefix,hash,vertex,occurrence,relaxation,alphabet,bucket,collision,heap,suffix,iteration,exponential,ancestor,predicate,recurrence,fractal
House:bath tub,concrete,trailer,castle,bathroom,villa,garage,roof,lamp,den,vacuum cleaner,entrance,carpet,shelf,bedding,ranch,cottage,ceiling,oven,toilet,laundry,nail,microwave,screw,sink,brick,cabin,plumbing,cave,patio,rug,sofa,tent,condo,basement,pillow,refrigerator,dryer,washer,blanket
Baseball:signal,extra inning,baseball cap,cap,coach,switch hitter,slide,knuckle ball,catch,strike,throw,plate umpire,curve,pitch,chest protector,protest,underhand throw,overhand throw,bat,runner,fence,steal,helmet,foul,glove,shin guards,scoreboard,pitcher,innings,inning,catcher,slider,batter,catcher mitt,umpire,fumble,dugout,bunt,sinker,screwball
Filmmaking:shot,assistant,credits,designer,operator,genre,loop,plot,cinema,producer,analog,supervisor,costume,spec,synopsis,composer,grip,boom,microphone,adaptation,bounce,prop,wardrobe,loader,foley,dolly,callback,stunt,antagonist,decorator,protagonist,dailies,publicist,storyboard,backstory,clapper,gaffer,squib,recordist,gofer
Construction:soldier,tongue,gauge,pitch,blend,bow,stud,mason,span,landing,aggregate,reveal,volt,watt,ribbon,scotia,sap,patio,trap,fitting,penny,subdivision,marble,partition,buck,acre,wax,slope,rehab,flush,heel,groove,cement,bracket,insulation,arbor,resin,granite,primer,adhesive
Geometry:vertical,dimension,alternate,axis,median,diameter,transformation,acute,curve,horizontal,distinct,adjacent,composite,pole,coordinate,reflection,triangle,cube,envelope,rational,cylinder,vertex,sphere,altitude,cone,pentagon,oblique,pyramid,apex,symmetry,chord,irregular,locus,diagonal,kite,rectangle,perimeter,prism,manifold,convex
Radio:spot,FM,engineer,broadcast,console,producer,pot,analog,announce,hook,pitch,playlist,queue,promo,amplifier,interference,bumper,transmit,transmitter,liner,ramp,cue,clutter,sting,billboard,jingle,narrator,turntable,teaser,sweeper,announcer,ident,rundown,crossfade,inflection,segue,simulcast,adlib,stager,cume
Body:ear,throat,toe,finger,chest,shoulder,thumbs,nose,tongue,teeth,fingers,lips,nail,knee,lip,nipple,ears,thumb,stomach,flesh,wrist,tooth,waist,shoulders,toes,knees,ankle,chin,elbow,beard,cheek,hips,thigh,cheeks,forehead,navel,eyebrows,armpit,moustache,buttock
Design:landscape,banner,smooth,contrast,convert,layout,vector,thumbnail,mask,crop,curve,portrait,margin,pixel,transform,texture,coating,caption,gradient,rectangle,palette,saturation,serif,bleed,blur,folio,hue,raster,gutter,tint,opacity,swatch,skew,vignette,pantone,bevel,emboss,dither,bezier,halftone
Building:mall,palace,arena,mill,stadium,cottage,arch,depot,motel,chapel,capitol,embassy,marina,jail,bowling alley,manor,shed,pavilion,barn,hostel,cathedral,dome,vault,monument,abbey,bakery,observatory,duplex,lighthouse,chateau,supermarket,fortress,chalet,shrine,foundry,monastery,mosque,bunker,crypt,kiosk
People Related:cute,dangerous,exciting,thin,athletic,lucky,romantic,sad,attractive,careful,angry,confident,ugly,boring,horrible,charming,brave,clever,outgoing,cruel,humble,wealthy,skinny,humorous,energetic,overweight,amusing,selfish,dependable,graceful,careless,crafty,unlucky,touchy,stingy,likable,talkative,forgetful,inconsiderate,easygoing
Geography:globe,gulf,atlas,canyon,projection,pole,oasis,pond,prairie,canal,cave,latitude,mesa,reef,peninsula,elevation,cliff,cove,reservoir,continent,longitude,marsh,altitude,compass,meridian,contour,wetland,volcano,glacier,strait,lagoon,swamp,butte,plateau,waterfall,dune,estuary,tundra,archipelago,equator
